,Time,Season,Day_of_the_week,DHI,DNI,GHI,Wind_speed,Humidity,Temperature,PV_production,Wind_production,Electric_demand
0,2019-01-01-T00:00,1,1,0,0,0,2.88,56.036,1.82,0,2810,22216
1,2019-01-01-T00:05,1,1,0,0,0,2.88,56.036,1.82,0,2862,22106
2,2019-01-01-T00:10,1,1,0,0,0,2.88,56.194,1.78,0,2916,22130
3,2019-01-01-T00:15,1,1,0,0,0,2.88,56.344,1.74,0,2920,22040
4,2019-01-01-T00:20,1,1,0,0,0,2.84,56.44,1.72,0,2902,21963
5,2019-01-01-T00:25,1,1,0,0,0,2.82,56.578,1.68,0,2874,21867
6,2019-01-01-T00:30,1,1,0,0,0,2.82,56.578,1.68,0,2845,21792
7,2019-01-01-T00:35,1,1,0,0,0,2.82,54.846,1.66,0,2807,21731
8,2019-01-01-T00:40,1,1,0,0,0,2.82,54.99,1.62,0,2763,21666
9,2019-01-01-T00:45,1,1,0,0,0,2.8,55.07,1.6,0,2735,21624
10,2019-01-01-T00:50,1,1,0,0,0,2.8,55.3,1.54,0,2693,21571
11,2019-01-01-T00:55,1,1,0,0,0,2.82,55.3,1.54,0,2618,21511
12,2019-01-01-T01:00,1,1,0,0,0,2.82,55.472,1.5,0,2554,21435
13,2019-01-01-T01:05,1,1,0,0,0,2.78,55.538,1.48,0,2515,21369
14,2019-01-01-T01:10,1,1,0,0,0,2.78,55.55,1.48,0,2496,21303
15,2019-01-01-T01:15,1,1,0,0,0,2.78,55.638,1.46,0,2488,21247
16,2019-01-01-T01:20,1,1,0,0,0,2.78,55.722,1.44,0,2486,21184
17,2019-01-01-T01:25,1,1,0,0,0,2.76,55.862,1.4,0,2514,21123
18,2019-01-01-T01:30,1,1,0,0,0,2.76,55.862,1.4,0,2508,21063
19,2019-01-01-T01:35,1,1,0,0,0,2.76,54.304,1.38,0,2505,21009
20,2019-01-01-T01:40,1,1,0,0,0,2.78,54.304,1.38,0,2520,20955
21,2019-01-01-T01:45,1,1,0,0,0,2.76,54.524,1.32,0,2511,20897
22,2019-01-01-T01:50,1,1,0,0,0,2.76,54.524,1.32,0,2479,20835
23,2019-01-01-T01:55,1,1,0,0,0,2.72,54.608,1.3,0,2418,20776
24,2019-01-01-T02:00,1,1,0,0,0,2.72,54.608,1.3,0,2391,20724
25,2019-01-01-T02:05,1,1,0,0,0,2.72,54.668,1.28,0,2351,20676
26,2019-01-01-T02:10,1,1,0,0,0,2.7,54.832,1.24,0,2368,20626
27,2019-01-01-T02:15,1,1,0,0,0,2.7,54.916,1.22,0,2395,20594
28,2019-01-01-T02:20,1,1,0,0,0,2.66,54.916,1.22,0,2383,20539
29,2019-01-01-T02:25,1,1,0,0,0,2.68,55.002,1.2,0,2368,20498
30,2019-01-01-T02:30,1,1,0,0,0,2.68,55.082,1.18,0,2369,20466
31,2019-01-01-T02:35,1,1,0,0,0,2.7,53.91,1.16,0,2378,20423
32,2019-01-01-T02:40,1,1,0,0,0,2.68,54.074,1.12,0,2376,20398
33,2019-01-01-T02:45,1,1,0,0,0,2.68,54.074,1.12,0,2411,20352
34,2019-01-01-T02:50,1,1,0,0,0,2.68,54.074,1.12,0,2424,20337
35,2019-01-01-T02:55,1,1,0,0,0,2.68,54.238,1.08,0,2431,20312
36,2019-01-01-T03:00,1,1,0,0,0,2.68,54.238,1.08,0,2455,20280
37,2019-01-01-T03:05,1,1,0,0,0,2.68,54.3,1.06,0,2446,20257
38,2019-01-01-T03:10,1,1,0,0,0,2.68,54.468,1.02,0,2408,20208
39,2019-01-01-T03:15,1,1,0,0,0,2.66,54.468,1.02,0,2369,20190
40,2019-01-01-T03:20,1,1,0,0,0,2.66,54.546,1,0,2365,20166
41,2019-01-01-T03:25,1,1,0,0,0,2.66,54.634,0.98,0,2354,20148
42,2019-01-01-T03:30,1,1,0,0,0,2.64,54.634,0.98,0,2359,20135
43,2019-01-01-T03:35,1,1,0,0,0,2.64,53.932,0.98,0,2358,20115
44,2019-01-01-T03:40,1,1,0,0,0,2.64,54.098,0.94,0,2356,20088
45,2019-01-01-T03:45,1,1,0,0,0,2.64,54.098,0.94,0,2325,20068
46,2019-01-01-T03:50,1,1,0,0,0,2.64,54.16,0.92,0,2313,20065
47,2019-01-01-T03:55,1,1,0,0,0,2.64,54.238,0.9,0,2324,20050
48,2019-01-01-T04:00,1,1,0,0,0,2.64,54.326,0.88,0,2322,20055
49,2019-01-01-T04:05,1,1,0,0,0,2.66,54.406,0.86,0,2313,20094
50,2019-01-01-T04:10,1,1,0,0,0,2.64,54.414,0.86,0,2312,20126
51,2019-01-01-T04:15,1,1,0,0,0,2.64,54.502,0.84,0,2321,20125
52,2019-01-01-T04:20,1,1,0,0,0,2.64,54.502,0.84,0,2337,20143
53,2019-01-01-T04:25,1,1,0,0,0,2.62,54.502,0.84,0,2393,20140
54,2019-01-01-T04:30,1,1,0,0,0,2.62,54.668,0.8,0,2413,20143
55,2019-01-01-T04:35,1,1,0,0,0,2.62,53.974,0.78,0,2385,20149
56,2019-01-01-T04:40,1,1,0,0,0,2.62,53.986,0.78,0,2335,20163
57,2019-01-01-T04:45,1,1,0,0,0,2.62,53.986,0.78,0,2278,20179
58,2019-01-01-T04:50,1,1,0,0,0,2.62,54.064,0.76,0,2242,20197
59,2019-01-01-T04:55,1,1,0,0,0,2.6,54.23,0.72,0,2226,20219
60,2019-01-01-T05:00,1,1,0,0,0,2.6,54.23,0.72,0,2221,20248
61,2019-01-01-T05:05,1,1,0,0,0,2.6,54.292,0.7,0,2198,20382
62,2019-01-01-T05:10,1,1,0,0,0,2.6,54.304,0.7,0,2161,20467
63,2019-01-01-T05:15,1,1,0,0,0,2.6,54.22,0.72,0,2153,20497
64,2019-01-01-T05:20,1,1,0,0,0,2.6,54.3,0.7,0,2154,20522
65,2019-01-01-T05:25,1,1,0,0,0,2.56,54.3,0.7,0,2139,20556
66,2019-01-01-T05:30,1,1,0,0,0,2.56,54.39,0.68,0,2134,20572
67,2019-01-01-T05:35,1,1,0,0,0,2.56,53.276,0.68,0,2110,20632
68,2019-01-01-T05:40,1,1,0,0,0,2.56,53.364,0.66,0,2099,20687
69,2019-01-01-T05:45,1,1,0,0,0,2.54,53.426,0.64,0,2120,20725
70,2019-01-01-T05:50,1,1,0,0,0,2.54,53.426,0.64,0,2105,20738
71,2019-01-01-T05:55,1,1,0,0,0,2.54,53.426,0.64,0,2091,20786
72,2019-01-01-T06:00,1,1,0,0,0,2.56,53.422,0.64,0,2109,20874
73,2019-01-01-T06:05,1,1,0,0,0,2.54,53.296,0.68,0,2114,21050
74,2019-01-01-T06:10,1,1,0,0,0,2.54,53.024,0.76,0,2107,21206
75,2019-01-01-T06:15,1,1,0,0,0,2.54,52.886,0.8,0,2101,21267
76,2019-01-01-T06:20,1,1,0,0,0,2.52,52.612,0.88,0,2088,21317
77,2019-01-01-T06:25,1,1,0,0,0,2.52,52.476,0.92,0,2080,21361
78,2019-01-01-T06:30,1,1,0,0,0,2.56,52.28,0.98,0,2071,21401
79,2019-01-01-T06:35,1,1,0,0,0,2.54,51.812,1.02,0,2064,21467
80,2019-01-01-T06:40,1,1,0,0,0,2.54,51.622,1.08,0,2048,21503
81,2019-01-01-T06:45,1,1,0,0,0,2.52,51.362,1.16,0,2034,21498
82,2019-01-01-T06:50,1,1,0,0,0,2.52,51.162,1.22,0,2029,21493
83,2019-01-01-T06:55,1,1,0,0,0,2.52,51.106,1.24,8,2034,21481
84,2019-01-01-T07:00,1,1,1.2,0,1.2,2.52,50.852,1.32,50,2026,21453
85,2019-01-01-T07:05,1,1,5.2,55.4,6.8,2.58,50.222,1.5,122,2019,21486
86,2019-01-01-T07:10,1,1,7.2,68,10.2,2.64,49.52,1.7,225,1995,21511
87,2019-01-01-T07:15,1,1,8.2,161.2,18.2,2.7,48.76,1.92,348,1993,21481
88,2019-01-01-T07:20,1,1,12,250.8,27.8,2.78,48.048,2.14,501,1966,21454
89,2019-01-01-T07:25,1,1,13.6,281,35.2,2.86,47.314,2.36,706,1937,21414
90,2019-01-01-T07:30,1,1,15.2,307.2,43.2,2.9,46.73,2.54,934,1919,21407
91,2019-01-01-T07:35,1,1,18.2,332.4,53,2.94,46.104,2.74,1198,1911,21379
92,2019-01-01-T07:40,1,1,21.2,424.8,65.8,3.02,45.408,2.96,1488,1907,21375
93,2019-01-01-T07:45,1,1,22.8,454.2,76.6,3.1,44.804,3.16,1817,1907,21297
94,2019-01-01-T07:50,1,1,26.6,532.4,90.8,3.16,44.238,3.34,2148,1893,21244
95,2019-01-01-T07:55,1,1,28.8,566.4,104,3.2,43.6,3.56,2532,1883,21179
96,2019-01-01-T08:00,1,1,30.6,598,117.4,3.3,43.09,3.74,2921,1897,21134
97,2019-01-01-T08:05,1,1,32.6,626.2,130.8,3.34,42.418,3.96,3326,1913,21122
98,2019-01-01-T08:10,1,1,34.4,652.4,144.6,3.38,41.776,4.18,3731,1906,21076
99,2019-01-01-T08:15,1,1,36,675.2,158.8,3.4,41.168,4.38,4114,1908,21037
100,2019-01-01-T08:20,1,1,37.4,699.6,173.6,3.46,40.724,4.54,4500,1929,20956
101,2019-01-01-T08:25,1,1,39.2,719.4,187.8,3.5,40.098,4.76,4863,1940,20886
102,2019-01-01-T08:30,1,1,40.4,738,201.4,3.54,39.554,4.96,5222,1966,20806
103,2019-01-01-T08:35,1,1,41.8,753.8,216,3.58,37.278,5.18,5579,1965,20728
104,2019-01-01-T08:40,1,1,43,769.4,229.6,3.64,36.854,5.34,5921,2017,20617
105,2019-01-01-T08:45,1,1,44.2,784.2,243.6,3.7,36.358,5.54,6223,2060,20553
106,2019-01-01-T08:50,1,1,45.4,797.6,257.4,3.72,35.878,5.74,6454,2052,20505
